speed,direction,direction_disp,x,y
61.62,67.744,152.2,232.94,176.82
57.276,62.319,144.79,229.67,175.1
50.777,58.76,134.43,226.86,173.12
39.133,56.269,125.72,224.73,170.94
34.946,53.079,106.53,223.36,169.03
37.685,47.563,91.781,222.76,167.02
42.735,41.918,82.819,222.69,164.76
44.967,35.501,84.563,223.01,162.22
49.009,29.543,79.525,223.27,159.53
48.627,25.415,76.004,223.8,156.64
49.469,21.522,68.973,224.51,153.81
51.806,17.56,62.436,225.58,151.04
52.566,13.449,59.189,227.01,148.28
50.06,8.4503,53.169,228.63,145.58
53.231,2.2524,52.243,230.43,143.17
56.508,356.37,46.981,232.39,140.65
62.286,352.11,43.104,234.7,138.17
56.387,349.25,38.578,237.43,135.61
50.463,345.99,33.9,240.07,133.5
53.403,342.73,27.691,242.58,131.82
48.837,341.15,25.726,245.42,130.33
42.635,339.8,21.281,248.06,129.05
35.891,338.47,25.96,250.45,128.13
26.927,337.55,22.869,252.38,127.18
17.451,336.87,24.186,253.87,126.56
12.057,336.76,16.938,254.83,126.13
8.2605,337.55,20.882,255.52,125.92
9.9297,338.7,8.1648,255.98,125.74
8.1344,340.56,32.688,256.57,125.65
6.1875,342.46,51.365,256.98,125.39
8.8655,344.66,103.88,257.21,125.1
11.425,347.06,133.73,257.09,124.58
13.182,349.43,148.79,256.61,124.09
17.683,351.98,146.71,255.94,123.68
19.194,354.88,147.47,255.05,123.1
20.953,358.18,145.98,254.08,122.48
26.865,1.0436,152.46,253.04,121.77
25.839,3.7508,138.32,251.61,121.03
24.78,6.3896,126.49,250.45,120
23.597,8.9726,126.89,249.56,118.8
21.406,11.889,121.91,248.71,117.67
21.18,14.98,117.51,248.03,116.58
19.314,18.367,119.23,247.45,115.45
21.06,21.311,119.17,246.88,114.44
22.503,23.994,114.41,246.27,113.34
24.353,25.965,114.02,245.71,112.11
24.727,27.577,113.97,245.11,110.77
28.523,29.184,108.1,244.51,109.42
28.377,30.752,107.18,243.98,107.79
29.345,32.267,106.32,243.48,106.17
